
Adaptive      | R101        | 1         | 66         
Adaptive      | R101        | 2         | 67         
Adaptive      | R101        | 3         | 66         
Adaptive      | R101        | 4         | 67         
Adaptive      | R101        | 5         | 65         
Adaptive      | R101        | 6         | 65         
Adaptive      | R101        | 7         | 61         
Adaptive      | R101        | 8         | 69         
Adaptive      | R101        | 9         | 70         
Adaptive      | R101        | 10         | 69         
Adaptive      | C101        | 1         | 60         
Adaptive      | C101        | 2         | 58         
Adaptive      | C101        | 3         | 63         
Adaptive      | C101        | 4         | 64         
Adaptive      | C101        | 5         | 63         
Adaptive      | C101        | 6         | 68         
Adaptive      | C101        | 7         | 62         
Adaptive      | C101        | 8         | 61         
Adaptive      | C101        | 9         | 57         
Adaptive      | C101        | 10         | 63         
Adaptive      | C201        | 1         | 55         
Adaptive      | C201        | 2         | 52         
Adaptive      | C201        | 3         | 59         
Adaptive      | C201        | 4         | 59         
Adaptive      | C201        | 5         | 60         
Adaptive      | C201        | 6         | 59         
Adaptive      | C201        | 7         | 54         
Adaptive      | C201        | 8         | 63         
Adaptive      | C201        | 9         | 54         
Adaptive      | C201        | 10         | 66         
Adaptive      | RC101        | 1         | 55         
Adaptive      | RC101        | 2         | 60         
Adaptive      | RC101        | 3         | 57         
Adaptive      | RC101        | 4         | 55         
Adaptive      | RC101        | 5         | 54         
Adaptive      | RC101        | 6         | 61         
Adaptive      | RC101        | 7         | 55         
Adaptive      | RC101        | 8         | 55         
Adaptive      | RC101        | 9         | 56         
Adaptive      | RC101        | 10         | 61         
Greedy      | R101        | 1         | 70         
Greedy      | R101        | 2         | 60         
Greedy      | R101        | 3         | 64         
Greedy      | R101        | 4         | 64         
Greedy      | R101        | 5         | 65         
Greedy      | R101        | 6         | 59         
Greedy      | R101        | 7         | 62         
Greedy      | R101        | 8         | 65         
Greedy      | R101        | 9         | 67         
Greedy      | R101        | 10         | 69         
Greedy      | C101        | 1         | 57         
Greedy      | C101        | 2         | 58         
Greedy      | C101        | 3         | 48         
Greedy      | C101        | 4         | 48         
Greedy      | C101        | 5         | 62         
Greedy      | C101        | 6         | 57         
Greedy      | C101        | 7         | 50         
Greedy      | C101        | 8         | 58         
Greedy      | C101        | 9         | 57         
Greedy      | C101        | 10         | 54         
Greedy      | C201        | 1         | 45         
Greedy      | C201        | 2         | 53         
Greedy      | C201        | 3         | 56         
Greedy      | C201        | 4         | 54         
Greedy      | C201        | 5         | 49         
Greedy      | C201        | 6         | 51         
Greedy      | C201        | 7         | 50         
Greedy      | C201        | 8         | 52         
Greedy      | C201        | 9         | 53         
Greedy      | C201        | 10         | 66         
Greedy      | RC101        | 1         | 51         
Greedy      | RC101        | 2         | 49         
Greedy      | RC101        | 3         | 59         
Greedy      | RC101        | 4         | 53         
Greedy      | RC101        | 5         | 54         
Greedy      | RC101        | 6         | 53         
Greedy      | RC101        | 7         | 57         
Greedy      | RC101        | 8         | 55         
Greedy      | RC101        | 9         | 49         
Greedy      | RC101        | 10         | 50         
Adaptive      | R101        | 1         | 66         
Adaptive      | R101        | 2         | 71         
