Distribution  | Instance | Zeta | Objective | Total tour time | Average decision time (s) | Maximum decision time (s)


R101         | 1         | 1.00            | 66             | 631          | 0.330               | 0.575        
R101         | 2         | 1.00            | 58             | 632          | 0.297               | 0.611        
R101         | 3         | 1.00            | 63             | 632          | 0.404               | 1.287        
R101         | 4         | 1.00            | 60             | 630          | 0.586               | 1.544        
R101         | 5         | 1.00            | 71             | 632          | 0.440               | 1.618        
R101         | 6         | 1.00            | 60             | 629          | 0.283               | 0.579        
R101         | 7         | 1.00            | 59             | 631          | 0.224               | 0.341        
R101         | 8         | 1.00            | 63             | 630          | 0.231               | 0.377        
R101         | 9         | 1.00            | 66             | 632          | 0.229               | 0.382        
R101         | 10         | 1.00            | 65             | 631          | 0.253               | 0.376        
R101         | 1         | 1.25            | 81             | 789          | 0.308               | 0.460        
R101         | 2         | 1.25            | 81             | 787          | 0.291               | 0.555        
R101         | 3         | 1.25            | 82             | 788          | 0.288               | 0.435        
R101         | 4         | 1.25            | 80             | 789          | 0.340               | 0.644        
R101         | 5         | 1.25            | 81             | 789          | 0.341               | 0.598        
R101         | 6         | 1.25            | 82             | 790          | 0.300               | 0.552        
R101         | 7         | 1.25            | 81             | 790          | 0.295               | 0.463        
R101         | 8         | 1.25            | 78             | 789          | 0.303               | 0.479        
R101         | 9         | 1.25            | 79             | 788          | 0.262               | 0.440        
R101         | 10         | 1.25            | 81             | 788          | 0.347               | 0.706        
R101         | 1         | 1.50            | 98             | 938          | 0.311               | 0.458        
R101         | 2         | 1.50            | 91             | 948          | 0.328               | 0.611        
R101         | 3         | 1.50            | 87             | 948          | 0.328               | 0.663        
R101         | 4         | 1.50            | 95             | 947          | 0.329               | 0.541        
R101         | 5         | 1.50            | 93             | 948          | 0.363               | 0.585        
R101         | 6         | 1.50            | 96             | 945          | 0.309               | 0.470        
R101         | 7         | 1.50            | 87             | 947          | 0.339               | 0.611        
R101         | 8         | 1.50            | 99             | 938          | 0.314               | 0.456        
R101         | 9         | 1.50            | 95             | 946          | 0.343               | 0.566        
R101         | 10         | 1.50            | 96             | 948          | 0.341               | 0.606        
C101         | 1         | 1.00            | 63             | 504          | 0.244               | 0.433        
C101         | 2         | 1.00            | 59             | 504          | 0.238               | 0.354        
C101         | 3         | 1.00            | 57             | 501          | 0.221               | 0.334        
C101         | 4         | 1.00            | 46             | 504          | 0.203               | 0.341        
C101         | 5         | 1.00            | 52             | 505          | 0.210               | 0.403        
C101         | 6         | 1.00            | 58             | 505          | 0.257               | 0.469        
C101         | 7         | 1.00            | 51             | 504          | 0.205               | 0.373        
C101         | 8         | 1.00            | 56             | 505          | 0.233               | 0.390        
C101         | 9         | 1.00            | 45             | 505          | 0.197               | 0.346        
C101         | 10         | 1.00            | 58             | 504          | 0.238               | 0.443        
C101         | 1         | 1.25            | 73             | 631          | 0.289               | 0.503        
C101         | 2         | 1.25            | 74             | 631          | 0.318               | 0.759        
C101         | 3         | 1.25            | 66             | 631          | 0.267               | 0.430        
C101         | 4         | 1.25            | 72             | 631          | 0.286               | 0.517        
C101         | 5         | 1.25            | 70             | 630          | 0.297               | 0.586        
C101         | 6         | 1.25            | 79             | 631          | 0.300               | 0.772        
